Is Dead;Accession Number;Catalogue Number;Accepted Name;TaxonomicName;Genus;Family;Provenance Code;Legacy Provenance Code;Country ISO;Last Seen On
ALIVE;1972-1411;K:LCD-1972-1411*2;Hydrangea febrifuga;Dichroa febrifuga;Dichroa;Hydrangeaceae;;N - Natural Source and Progeny;Nepal;20-01-2025
ALIVE;1969-50936;K:LCD-1969-50936*1;Rohdea japonica;Rohdea japonica;Rohdea;Asparagaceae;;;;21-05-2024
ALIVE;1985-4802;K:LCD-1985-4802*2;Vasconcellea × pentagona;Carica × pentagona;Carica;Caricaceae;;;;29-05-2024
ALIVE;1984-507;K:LCD-1984-507*1;Callicarpa americana;Callicarpa americana;Callicarpa;Lamiaceae;;N - Natural Source and Progeny;United States;29-07-2022
ALIVE;1982-3937;K:LCD-1982-3937*3;Impatiens grandis;Impatiens grandis;Impatiens;Balsaminaceae;;;;20-01-2025
ALIVE;1981-2280;K:LCD-1981-2280*5;Pittosporum michiei;Pittosporum michiei;Pittosporum;Pittosporaceae;;N - Natural Source and Progeny;New Zealand;27-03-2024
ALIVE;1968-49003;K:LCD-1968-49003*1;Libertia ixioides;Libertia ixioides;Libertia;Iridaceae;;;;27-03-2024
ALIVE;1969-16804;K:LCD-1969-16804*2;Reineckea carnea;Reineckea carnea;Reineckea;Asparagaceae;;;;20-01-2025
ALIVE;2005-2481;K:LCD-2005-2481*2;Impatiens balansae;Impatiens balansae;Impatiens;Balsaminaceae;;;;21-11-2024
ALIVE;1983-1592;K:LCD-1983-1592*4;Peumus boldus;Peumus boldus;Peumus;Monimiaceae;;N - Natural Source and Progeny;Chile;13-02-2024
ALIVE;1985-3620;K:LCD-1985-3620*1;Lobelia angulata;Lobelia angulata;Lobelia;Campanulaceae;;N - Natural Source and Progeny;Indonesia;20-05-2024
ALIVE;1978-4494;K:LCD-1978-4494*1;Sclerochiton harveyanus;Sclerochiton harveyanus;Sclerochiton;Acanthaceae;;;Mozambique;14-02-2024
ALIVE;2015-2851;K:LCD-2015-2851*1;Elegia elephantina;Elegia elephantina;Elegia;Restionaceae;;;South Africa;18-08-2023
ALIVE;2010-755;K:LCD-2010-755*1;Leonotis nepetifolia;Leonotis nepetifolia;Leonotis;Lamiaceae;;N - Natural Source and Progeny;;19-11-2024
ALIVE;1965-57702;K:LCD-1965-57702*2;Jasminum simplicifolium subsp. australiense;Jasminum simplicifolium subsp. australiense;Jasminum;Oleaceae;;;;28-12-2024
ALIVE;2008-2988;K:LCD-2008-2988*2;Mitraria coccinea;Mitraria coccinea;Mitraria;Gesneriaceae;;N - Natural Source and Progeny;Chile;22-02-2024
ALIVE;2016-1444;K:LCD-2016-1444*2;Libertia grandiflora;Libertia grandiflora;Libertia;Iridaceae;;;;28-05-2024
ALIVE;1969-17831;K:LCD-1969-17831*1;Encephalartos lehmannii;Encephalartos lehmannii;Encephalartos;Zamiaceae;;;;14-02-2024
ALIVE;1977-4237;K:LCD-1977-4237*1;Punica granatum;Punica granatum;Punica;Lythraceae;;N - Natural Source and Progeny;Iran;17-01-2025
ALIVE;2015-1678;K:LCD-2015-1678*2;Microlepia speluncae;Microlepia speluncae;Microlepia;Dennstaedtiaceae;;N - Natural Source and Progeny;Vietnam;20-05-2024
ALIVE;2015-2482;K:LCD-2015-2482*1;Quercus insignis;Quercus insignis;Quercus;Fagaceae;;N - Natural Source and Progeny;Mexico;25-01-2024
ALIVE;1984-5261;K:LCD-1984-5261*5;Podocarpus matudae;Podocarpus matudae;Podocarpus;Podocarpaceae;;N - Natural Source and Progeny;Mexico;19-02-2024
ALIVE;1970-4511;K:LCD-1970-4511*1;Billardiera longiflora;Billardiera longiflora;Billardiera;Pittosporaceae;;;;28-12-2024
ALIVE;1959-3403;K:LCD-1959-3403*3;;Citrus × aurantium 'Marsh';Citrus;Rutaceae;;;;15-02-2024
ALIVE;1984-2355;K:LCD-1984-2355*3;Hardenbergia comptoniana;Hardenbergia comptoniana;Hardenbergia;Fabaceae;;;;28-12-2024
ALIVE;2008-1202;K:LCD-2008-1202*5;Salvia repens;Salvia repens;Salvia;Lamiaceae;;;;24-05-2024
ALIVE;1961-9001;K:LCD-1961-9001*1;Erica verticillata;Erica verticillata;Erica;Ericaceae;;;;28-11-2024
ALIVE;1953-58501;K:LCD-1953-58501*3;Gymnosporia arbutifolia;Gymnosporia arbutifolia;Gymnosporia;Celastraceae;;N - Natural Source and Progeny;Ethiopia;22-08-2023
ALIVE;1985-2330;K:LCD-1985-2330*2;Fuchsia hatschbachii;Fuchsia hatschbachii;Fuchsia;Onagraceae;;N - Natural Source and Progeny;Brazil;29-05-2024
ALIVE;1991-2311;K:LCD-1991-2311*1;Begonia grandis subsp. sinensis;Begonia grandis subsp. sinensis;Begonia;Begoniaceae;;N - Natural Source and Progeny;China;01-10-2024
ALIVE;1957-27501;K:LCD-1957-27501*1;Justicia carnea;Justicia carnea;Justicia;Acanthaceae;;;;01-08-2024
ALIVE;2014-2045;K:LCD-2014-2045*3;;Brugmansia 'Angels Sunsilk';Brugmansia;Solanaceae;;;;15-02-2024
ALIVE;1985-706;K:LCD-1985-706*1;Arthropodium cirratum;Arthropodium cirratum;Arthropodium;Asparagaceae;;N - Natural Source and Progeny;New Zealand;27-03-2024
ALIVE;1994-2195;K:LCD-1994-2195*1;Salvia jordanii;Rosmarinus eriocalyx;Rosmarinus;Lamiaceae;;N - Natural Source and Progeny;Spain;09-01-2025
ALIVE;1998-3475;K:LCD-1998-3475*3;Pelargonium bowkeri;Pelargonium bowkeri;Pelargonium;Geraniaceae;;;;15-02-2024
ALIVE;1973-3947;K:LCD-1973-3947*2;Aloe ferox;Aloe ferox;Aloe;Asphodelaceae;;;;09-01-2025
ALIVE;1973-13403;K:LCD-1973-13403*1;Cibotium schiedei;Cibotium schiedei;Cibotium;Cyatheaceae;;;;23-03-2023
ALIVE;1973-12068;K:LCD-1973-12068*1;Neopanax arboreus;Pseudopanax arboreus;Pseudopanax;Araliaceae;;;;27-03-2024
ALIVE;1958-19604;K:LCD-1958-19604*2;Acokanthera oblongifolia;Acokanthera oblongifolia;Acokanthera;Apocynaceae;;;;29-05-2024
ALIVE;1926-28601;K:LCD-1926-28601*1;Duranta mutisii;Duranta mutisii;Duranta;Verbenaceae;;;;01-08-2024
