Catalogue Number;Full Name;Store Level1;Store Level2;Store Level3;Store Level4
K:LCD-1973-19558*6;Hemigraphis alternata;Princess of Wales Conservatory;01;29;
K:LCD-1998-4012*3;Selaginella integerrima;Princess of Wales Conservatory;04;04;
K:LCD-2004-1775*2;Pinguicula moranensis;Princess of Wales Conservatory;09;01;
K:LCD-1981-1368*2;Senecio deflersii;Princess of Wales Conservatory;10;01;
K:LCD-1983-1528*2;Diplazium pseudododerleinii;Princess of Wales Conservatory;04;10;
K:LCD-2007-1157*1;Pelargonium cucullatum;Princess of Wales Conservatory;03;09;
K:LCD-1972-678*1;Hohenbergia correia-arauji;Princess of Wales Conservatory;01;14;
K:LCD-1973-13827*2;Peperomia camptotricha;Princess of Wales Conservatory;01;27;
K:LCD-1981-4187*1;Goeppertia cylindrica;Princess of Wales Conservatory;01;26;
K:LCD-1981-2608*1;Paphiopedilum Atlantis gx;Princess of Wales Conservatory;06;02;
K:LCD-1978-3808*2;Ctenanthe oppenheimiana;Princess of Wales Conservatory;04;02;
K:LCD-1998-3489*3;Pelargonium peltatum;Princess of Wales Conservatory;03;09;
K:LCD-1973-13766*3;Calathea zebrina;Princess of Wales Conservatory;01;29;
K:LCD-1969-19884*4;Anthurium schlechtendalii;Princess of Wales Conservatory;01;11;
K:LCD-1992-2953*2;Dichorisandra thyrsiflora;Princess of Wales Conservatory;01;02;
K:LCD-1999-2410*2;Pinguicula laueana;Princess of Wales Conservatory;09;01;
K:LCD-1969-16422*3;Senecio crassulifolius;Princess of Wales Conservatory;03;06;
K:LCD-1989-2584*1;Peperomia blanda;Princess of Wales Conservatory;01;27;
K:LCD-1971-2554*3;Asplenium bipinnatifidum;Princess of Wales Conservatory;04;09;
K:LCD-1994-1025*2;Asplenium nidus;Princess of Wales Conservatory;04;05;
K:LCD-1999-425*3;Anthurium leuconeurum;Princess of Wales Conservatory;01;08;
K:LCD-1970-4643*2;Begonia obscura;Princess of Wales Conservatory;01;23;
K:LCD-1984-3448*2;Begonia dregei;Princess of Wales Conservatory;01;23;
K:LCD-2001-317*1;Scindapsus pictus;Princess of Wales Conservatory;04;09;
K:LCD-1984-1390*4;Costus;Princess of Wales Conservatory;01;22;
K:LCD-1969-17745*5;Dorstenia psilurus;Princess of Wales Conservatory;01;22;
K:LCD-1973-20952*3;Begonia fuchsioides;Princess of Wales Conservatory;01;23;
K:LCD-1973-13761*2;Goeppertia makoyana;Princess of Wales Conservatory;01;22;
K:LCD-1986-8160*1;Barringtonia racemosa;Princess of Wales Conservatory;01;26;
K:LCD-1954-30704*1;Haworthia × rigida;Princess of Wales Conservatory;03;03;
K:LCD-2001-1264*1;Lithops lesliei;Princess of Wales Conservatory;03;08;
K:LCD-2001-312*2;Rhodospatha moritziana;Princess of Wales Conservatory;01;06;
K:LCD-2001-3670*2;Lithops hookeri;Princess of Wales Conservatory;03;08;
K:LCD-1972-321*3;Aechmea recurvata var. recurvata;Princess of Wales Conservatory;01;03;TREE
K:LCD-1981-2383*4;Ctenanthe setosa;Princess of Wales Conservatory;01;28;
K:LCD-2004-3359*2;Pelargonium 'Rober's Lemon Rose';Princess of Wales Conservatory;03;10;
K:LCD-1981-2381*2;Ctenanthe setosa;Princess of Wales Conservatory;04;11;
K:LCD-1973-13977*2;Drynaria rigidula 'Vidgeni';Princess of Wales Conservatory;04;01;
