"Accepted.Name","Is.Dead","Accession.Number","Catalogue.Number","TaxonomicName","Genus","Family","Provenance.Code","Legacy.Provenance.Code","Country.ISO","Last.Seen.On","target"
"Brachylaena discolor","ALIVE","2022-80","K:LCD-2022-80*2","Brachylaena discolor","Brachylaena","Asteraceae",NA,"N - Natural Source and Progeny","South Africa","03-06-2024","genus"
"Brassaiopsis","ALIVE","2015-1504","K:LCD-2015-1504*2","Brassaiopsis","Brassaiopsis","Araliaceae",NA,"N - Natural Source and Progeny","Vietnam","20-05-2024","genus"
"Brassaiopsis dumicola","ALIVE","2015-1615","K:LCD-2015-1615*3","Brassaiopsis dumicola","Brassaiopsis","Araliaceae",NA,"N - Natural Source and Progeny","Vietnam","05-11-2024","genus"
"Brassaiopsis dumicola","ALIVE","2015-1615","K:LCD-2015-1615*1","Brassaiopsis dumicola","Brassaiopsis","Araliaceae",NA,"N - Natural Source and Progeny","Vietnam","05-11-2024","genus"
"Brassaiopsis dumicola","ALIVE","2015-1615","K:LCD-2015-1615*2","Brassaiopsis dumicola","Brassaiopsis","Araliaceae",NA,"N - Natural Source and Progeny","Vietnam","20-01-2025","genus"
"Brassaiopsis hispida","ALIVE","2023-0901","K:LCD-2023-0901*1","Brassaiopsis hispida","Brassaiopsis","Araliaceae","","","","10-12-2024","genus"
"Bremeria pervillei","ALIVE","2020-1120","K:LCD-2020-1120*1","Bremeria pervillei","Bremeria","Rubiaceae","","N - Natural Source and Progeny","Madagascar","10-11-2023","genus"
"Bremeria pervillei","ALIVE","2017-2547","K:LCD-2017-2547*1","Bremeria pervillei","Bremeria","Rubiaceae","","N - Natural Source and Progeny","Madagascar","26-05-2023","genus"
"Brenierea insignis","ALIVE","2020-1159","K:LCD-2020-1159*1","Brenierea insignis","Brenierea","Fabaceae","","N - Natural Source and Progeny","Madagascar","22-09-2023","genus"
"Breonia perrieri","ALIVE","2007-1662","K:LCD-2007-1662*1","Breonia perrieri","Breonia","Rubiaceae","","N - Natural Source and Progeny","Madagascar","12-01-2023","genus"
"Brexia madagascariensis","ALIVE","2007-2267","K:LCD-2007-2267*1","Brexia madagascariensis","Brexia","Celastraceae","","N - Natural Source and Progeny","Madagascar","03-07-2023","family"
"Bryobium hyacinthoides","ALIVE","2000-265","K:LCD-2000-265*1","Bryobium hyacinthoides","Bryobium","Orchidaceae","","","","21-01-2025","genus"
"Bryobium hyacinthoides","ALIVE","2011-1520","K:LCD-2011-1520*1","Bryobium hyacinthoides","Bryobium","Orchidaceae","","N - Natural Source and Progeny","Indonesia","22-01-2025","genus"
"Bryobium hyacinthoides","ALIVE","1998-4188","K:LCD-1998-4188*1","Bryobium hyacinthoides","Bryobium","Orchidaceae","","","","21-01-2025","genus"
"Bryobium rubiferum","ALIVE","2005-1406","K:LCD-2005-1406*1","Bryobium rubiferum","Bryobium","Orchidaceae","","","","23-01-2025","genus"
"Buckinghamia celsissima","ALIVE","2016-298","K:LCD-2016-298*1","Buckinghamia celsissima","Buckinghamia","Proteaceae",NA,"N - Natural Source and Progeny","Australia","28-12-2024","genus"
"Bulbostylis lichtensteiniana","ALIVE","2010-2259","K:LCD-2010-2259*1","Bulbostylis lichtensteiniana","Bulbostylis","Cyperaceae","","N - Natural Source and Progeny","Saint Helena, Ascension, and Tristan da Cunha","24-06-2025","genus"
"Cadia commersoniana","ALIVE","2020-1127","K:LCD-2020-1127*3","Cadia commersoniana","Cadia","Fabaceae","","N - Natural Source and Progeny","Madagascar","02-12-2024","genus"
"Cadia commersoniana","ALIVE","2020-1127","K:LCD-2020-1127*1","Cadia commersoniana","Cadia","Fabaceae","","N - Natural Source and Progeny","Madagascar","08-07-2024","genus"
"Cadia purpurea","ALIVE","2020-973","K:LCD-2020-973*3","Cadia purpurea","Cadia","Fabaceae","","N - Natural Source and Progeny","Saudi Arabia","29-08-2024","genus"
"Cadia purpurea","ALIVE","2020-973","K:LCD-2020-973*2","Cadia purpurea","Cadia","Fabaceae","","N - Natural Source and Progeny","Saudi Arabia","13-02-2024","genus"
