"entity_ID","geo_entity","longitude","latitude","biome","mean_wc2.0_bio_30s_01","mean_wc2.0_bio_30s_12","species"
11022,"South Eastern",140.320122,-36.563465,"Mediterranean Forests, Woodlands & Scrub",14.95048,556.29521,"Acacia paradoxa"
11109,"Coahuila, Mexico",-102.096767,27.285529,"Deserts & Xeric Shrublands",19.73189,329.70065,"Acacia paradoxa"
11110,"Colima, Mexico",-103.921337,19.141042,"Tropical & Subtropical Dry Broadleaf Forests",24.90603,967.84493,"Acacia paradoxa"
11112,"Durango, Mexico",-104.985677,24.901677,"Tropical & Subtropical Coniferous Forests",16.76734,646.80213,"Acacia paradoxa"
11117,"Jalisco, Mexico",-99.627222,19.340714,"Tropical & Subtropical Coniferous Forests",15.33029,961.22461,"Acacia paradoxa"
11122,"Oaxaca, Mexico",-96.437834,16.95564,"Tropical & Subtropical Coniferous Forests",22.05997,1342.10798,"Acacia paradoxa"
11126,"San Luis Potosí, Mexico",-100.451545,22.605895,"Deserts & Xeric Shrublands",19.18246,589.58629,"Acacia paradoxa"
11127,"Sinaloa, Mexico",-107.492663,24.992551,"Tropical & Subtropical Dry Broadleaf Forests",24.06439,778.37195,"Acacia paradoxa"
11130,"Tamaulipas, Mexico",-98.672341,24.302169,"Tropical & Subtropical Moist Broadleaf Forests",22.96542,730.52406,"Acacia paradoxa"
11134,"Zacatecas, Mexico",-102.708861,23.266592,"Deserts & Xeric Shrublands",16.75542,465.57379,"Acacia paradoxa"
11420,"North Coast, Australia",152.444633,-30.573727,"Temperate Broadleaf & Mixed Forests",17.5948,1226.759,"Acacia paradoxa"
11421,"Central Coast, Australia",150.79668,-33.679673,"Temperate Broadleaf & Mixed Forests",16.16573,1029.81446,"Acacia paradoxa"
11422,"South Coast, Australia",149.957496,-36.196457,"Temperate Broadleaf & Mixed Forests",14.78935,949.22933,"Acacia paradoxa"
11423,"Northern Tablelands, Australia",151.578392,-30.459348,"Temperate Broadleaf & Mixed Forests",13.67303,925.30091,"Acacia paradoxa"
11424,"Central Tablelands, Australia",149.792882,-33.679771,"Temperate Broadleaf & Mixed Forests",12.76219,869.47675,"Acacia paradoxa"
